哥斯拉2：怪兽之王, 2019-05-31中国大陆上映, 科幻,灾难,动作
少年的你, 2019-10-25中国大陆上映, 爱情,青春,剧情
哪吒之魔童降世, 2019-07-26中国大陆上映, 动画,喜剧,奇幻
唐人街探案2, 2018-02-16中国大陆上映, 喜剧,动作,悬疑
误杀, 2019-12-13中国大陆上映, 剧情,犯罪
天气之子, 2019-11-01中国大陆上映, 爱情,动画,奇幻
恐怖电影院2, 2017-10-20中国大陆上映, 恐怖,惊悚
吹哨人, 2019-12-06中国大陆上映, 剧情,犯罪,悬疑
战狼2, 2017-07-27中国大陆上映, 动作,战争
毒液2, 2020-06-25美国上映, 动作,科幻,惊悚,恐怖
